,nr,q_nr,theory_nr,theory,question,answer,meta_folder,meta_file,meta_depth,meta_id,D_maxD,D_NFact,D_NRule,Q_Dep,Q_Len,Q_strategy,Q_proofs,formulated_facts_str,formulated_rules_str,resulted_new_facts_list,formulated_query_list,answer_code,answer_LLM
0,7639,2,525,"Anne is big. Anne is red. Bob is big. Bob is kind. Bob is round. Bob is smart. Bob is white. If Anne is kind then Anne is red. Red, smart people are white. If Bob is white then Bob is kind. If someone is big and red then they are kind. All white, round people are smart. All kind people are round. All round, blue people are white. Big people are blue.",Bob is blue.,True,OWA,test,3,AttNoneg-OWA-D3-924,4,7,8,1,2,proof,[(((triple3) -> rule8))],"1. Big(Anne)
2. Red(Anne)
3. Big(Bob)
4. Kind(Bob)
5. Round(Bob)
6. Smart(Bob)
7. White(Bob)
","1. IF Kind(Anne) THEN Red(Anne)
2. IF Red(person), THEN White(person)
3. IF White(Bob), THEN Kind(Bob)
4. IF Big(person) AND Red(person), THEN Kind(person)
5. IF White(person), THEN Round(person)
6. IF Round(person), THEN Kind(person)
7. IF Blue(person), THEN White(person)
8. IF Kind(person), THEN Round(person)
","1. Big(Anne)
2. Red(Anne)
3. Big(Bob)
4. Kind(Bob)
5. Round(Bob)
6. Smart(Bob)
7. White(Bob)
8. NOTHING
","1. Blue(Bob)
",False,False
1,38579,2,4987,The bald eagle is blue. The bald eagle likes the cat. The bald eagle sees the cat. The cat is not big. The cat is not red. The cat sees the bald eagle. The cat visits the bald eagle. If something likes the cat and it visits the cat then the cat does not see the bald eagle. If the bald eagle sees the cat and the bald eagle likes the cat then the cat visits the bald eagle. If something visits the cat then the cat does not like the bald eagle. If something is red and it likes the bald eagle then the bald eagle sees the cat. If something visits the bald eagle and it is blue then it is round. If something visits the bald eagle then it likes the bald eagle. If the bald eagle is blue and the bald eagle sees the cat then the bald eagle is round. If something likes the bald eagle then the bald eagle likes the cat.,The cat likes the bald eagle.,True,OWA,train,1,RelNeg-OWA-D1-3080,1,7,8,1,2,proof,[(((triple7) -> rule6) OR ((((triple3 triple2) -> rule2)) -> rule6))],"1. Blue(Bald Eagle)
2. Like(Bald Eagle, Cat)
3. See(Bald Eagle, Cat)
4. Not Big(Cat)
5. Not Red(Cat)
6. See(Cat, Bald Eagle)
7. Visit(Cat, Bald Eagle)
","1. IF Likes(cat, something) AND Visit(something, cat), THEN Cat(cat) does not see BaldEagle(bald eagle).
2. IF BaldEagle(bald eagle) sees Cat(cat) AND Likes(cat, bald eagle), THEN Visit(bald eagle, cat).
3. IF Visit(something, cat), THEN Cat(cat) does not like BaldEagle(bald eagle).
4. IF Red(something) AND Likes(cat, something), THEN BaldEagle(bald eagle) sees Cat(cat).
5. IF Visit(blue, bald eagle), THEN BaldEagle(bald eagle) is round.
6. IF Visit(something, bald eagle), THEN Likes(bald eagle, something).
7. IF Blue(bald eagle) AND Sees(bald eagle, cat), THEN BaldEagle(bald eagle) is round.
8. IF Likes(cat, something), THEN BaldEagle(bald eagle) likes
","1. Blue(Bald Eagle)
2. Like(Bald Eagle, Cat)
3. See(Bald Eagle, Cat)
4. Not Big(Cat)
5. Not Red(Cat)
6. See(Cat, Bald Eagle)
7. Visit(Cat, Bald Eagle)
","1. Like(Cat, BaldEagle)
",False,False
2,1349,2,62,"Charlie is red. Charlie is white. Fiona is green. Gary is red. Gary is white. Harry is kind. Harry is not quiet. If Gary is quiet and Gary is red then Gary is cold. If something is quiet and not white then it is nice. If something is green and kind then it is nice. If something is kind and not red then it is green. Red, kind things are green. If something is red then it is quiet. If Charlie is nice then Charlie is cold. Cold, quiet things are kind.",Gary is quiet.,True,OWA,test,5,AttNeg-OWA-D5-878,5,7,8,1,2,proof,[(((triple4) -> rule6))],"1. Red(Charlie)
2. White(Charlie)
3. Green(Fiona)
4. Red(Gary)
5. White(Gary)
6. Kind(Harry)
7. Not Quiet(Harry)
","1. IF Quiet(Gary) AND Red(Gary) THEN Cold(Gary)
2. IF Not White(something) THEN Nice(something)
3. IF Green(something) AND Kind(something) THEN Nice(something)
4. IF Kind(something) AND Not Red(something) THEN Green(something)
5. IF Red(something) THEN Quiet(something)
6. IF Nice(Charlie) THEN Cold(Charlie)
7. IF Cold(something) AND Quiet(something) THEN Kind(something)
","1. Red(Charlie)
2. White(Charlie)
3. Green(Fiona)
4. Red(Gary)
5. White(Gary)
6. Kind(Harry)
7. Not Quiet(Harry)
8. NOTHING
","1. Quiet(Gary)
",False,False
3,4689,2,325,The bear chases the cow. The cow chases the bear. The cow is red. The cow visits the bear. The dog is big. The dog likes the cow. The dog visits the bear. If something chases the cow then the cow does not visit the dog. If something likes the bear then the bear is not round. If the cow visits the dog and the cow is not big then the cow chases the bear. If something visits the bear then it is round. If something is round then it likes the bear. If something is round then it likes the bear. If something is red and it does not like the bear then it chases the bear. If something chases the bear and it likes the dog then it chases the dog.,The dog is round.,True,OWA,dev,3,RelNeg-OWA-D3-1307,3,7,8,1,2,proof,[(((triple7) -> rule4))],"1. Chase(Bear, Cow)
2. Chase(Cow, Bear)
3. Red(Cow)
4. Visit(Cow, Bear)
5. Big(Dog)
6. Like(Dog, Cow)
7. Visit(Dog, Bear)
","1. IF Chase(cow, dog) THEN Visit(cow, dog)
2. IF Like(bear, something) THEN Round(bear)
3. IF Visit(cow, dog) AND NotBig(cow) THEN Chase(cow, bear)
4. IF Visit(something, bear) THEN Round(something)
5. IF Round(something) THEN Like(bear, something)
6. IF Red(something) AND NotLike(something, bear) THEN Chase(something, bear)
7. IF Chase(something, bear) AND Like(something, dog) THEN Chase(something, dog)
","1. Chase(Bear, Cow)
2. Chase(Cow, Bear)
3. Red(Cow)
4. Visit(Cow, Bear)
5. Big(Dog)
6. Like(Dog, Cow)
7. Visit(Dog, Bear)
8. NOTHING.
","1. Round(dog)
",False,False
4,3597,2,170,The bald eagle is kind. The bald eagle is not red. The bald eagle likes the dog. The dog needs the lion. The lion does not need the bald eagle. The mouse likes the dog. The mouse does not see the dog. If someone needs the mouse then the mouse does not see the bald eagle. If someone needs the dog then the dog needs the lion. If someone is rough then they see the mouse. If someone sees the mouse then the mouse is kind. If someone needs the lion then they do not see the bald eagle. If someone sees the dog then they need the mouse. All kind people are rough. If someone sees the mouse then they like the lion.,The bald eagle is rough.,True,OWA,dev,5,RelNeg-OWA-D5-940,6,7,8,1,2,proof,[(((triple1) -> rule7))],"1. Kind(BaldEagle)
2. NotRed(BaldEagle)
3. Like(BaldEagle, Dog)
4. Need(Dog, Lion)
5. DoesNotNeed(BaldEagle, Lion)
6. Like(Mouse, Dog)
7. DoesNotSee(Mouse, Dog)
","1. IF Need(mouse) THEN See(mouse, bald eagle)
2. IF Need(dog) THEN Need(lion)
3. IF Rough(person) THEN See(mouse)
4. IF See(mouse) THEN Kind(mouse)
5. IF Need(lion) THEN See(lion)
6. IF See(dog) THEN Need(mouse)
7. IF Kind(person) THEN Rough(person)
8. IF See(mouse) THEN Like(lion)
","1. Kind(BaldEagle)
2. NotRed(BaldEagle)
3. Like(BaldEagle, Dog)
4. Need(Dog, Lion)
5. DoesNotNeed(BaldEagle, Lion)
6. Like(Mouse, Dog)
7. DoesNotSee(Mouse, Dog)
8. NOTHING
","1. Rough(Bald Eagle)
",False,False
5,48623,2,3374,"Charlie is green. Charlie is kind. Erin is kind. Erin is quiet. Erin is red. Gary is quiet. Gary is red. All big, red people are furry. If someone is furry then they are red. If someone is furry then they are big. If someone is green then they are red. Blue people are red. All red people are blue. If someone is kind and red then they are furry. If someone is big and furry then they are kind.",Erin is blue.,True,OWA,train,3,AttNoneg-OWA-D3-1479,3,7,8,1,2,proof,[(((triple5) -> rule6))],"1. Green(Charlie)
2. Kind(Charlie)
3. Kind(Erin)
4. Quiet(Erin)
5. Red(Erin)
6. Quiet(Gary)
7. Red(Gary)
","1. IF Big(person) AND Red(person) THEN Furry(person)
2. IF Red(person) THEN Big(person)
3. IF Furry(person) THEN Big(person)
4. IF Green(person) THEN Red(person)
5. IF Blue(person) THEN Red(person)
6. IF Kind(person) AND Red(person) THEN Furry(person)
7. IF Big(person) AND Furry(person) THEN Kind(person)
","1. Green(Charlie)
2. Kind(Charlie)
3. Kind(Erin)
4. Quiet(Erin)
5. Red(Erin)
6. Quiet(Gary)
7. Red(Gary)
8. NOTHING
","1. Blue(Erin)
",False,False
6,7759,2,545,"Anne is not blue. Anne is green. Bob is blue. Bob is cold. Bob is kind. Charlie is kind. Charlie is nice. If someone is white then they are big. If someone is big then they are kind. If someone is green and white then they are not blue. Big people are not nice. All blue, kind people are white. If someone is cold and nice then they are white. If Charlie is big then Charlie is kind. If Charlie is kind then Charlie is nice.",Bob is white.,True,OWA,train,3,AttNeg-OWA-D3-617,3,7,8,1,3,proof,[(((triple3 triple5) -> rule5))],"1. Not(Anne, Blue)
2. Green(Anne)
3. Blue(Bob)
4. Cold(Bob)
5. Kind(Bob)
6. Kind(Charlie)
7. Nice(Charlie)
","1. IF White(someone) THEN Kind(someone)
2. IF Big(someone) THEN Kind(someone)
3. IF GreenAndWhite(someone) THEN NotBlue(someone)
4. IF Big(person) THEN NotNice(person)
5. IF Blue(person) AND Kind(person) THEN White(person)
6. IF Cold(person) AND Nice(person) THEN White(person)
7. IF Big(Charlie) THEN Kind(Charlie)
8. IF Kind(Charlie) THEN Nice(Charlie)
","1. Not(Anne, Blue)
2. Green(Anne)
3. Blue(Bob)
4. Cold(Bob)
5. Kind(Bob)
6. Kind(Charlie)
7. Nice(Charlie)
8. NOTHING
","1. White(Bob)
",False,False
7,24145,2,3119,The cat chases the dog. The cat is blue. The cat is green. The cat sees the dog. The cat visits the dog. The dog is red. The dog is young. If someone chases the cat then they visit the dog. If someone is green and they see the dog then the dog chases the cat. If someone is red and kind then they see the dog. If someone visits the dog then the dog is green. If the dog is red then the dog visits the cat. If the dog visits the cat and the dog chases the cat then the cat chases the dog. If the cat sees the dog then the cat visits the dog. If someone sees the cat and they chase the cat then they see the dog.,The dog visits the cat.,True,OWA,train,1,RelNoneg-OWA-D1-1301,2,7,8,1,2,proof,[(((triple6) -> rule5))],"1. Chase(Cat, Dog)
2. Blue(Cat)
3. Green(Cat)
4. See(Cat, Dog)
5. Visit(Cat, Dog)
6. Red(Dog)
7. Young(Dog)
","1. IF Chase(cat) THEN Visit(dog)
2. IF Green(person) AND See(dog) THEN Chase(cat)
3. IF Red(person) AND Kind(person) THEN See(dog)
4. IF Visit(dog) THEN Green(dog)
5. IF Red(dog) THEN Visit(cat)
6. IF Visit(cat) AND Chase(cat) THEN Visit(dog)
7. IF See(cat) THEN Visit(dog)
8. IF Chase(person) THEN See(cat)
","1. Chase(Cat, Dog)
2. Blue(Cat)
3. Green(Cat)
4. See(Cat, Dog)
5. Visit(Cat, Dog)
6. Red(Dog)
7. Young(Dog)
8. NOTHING
","1. Visit(Dog, Cat)
",False,False
8,2455,2,175,The cat chases the lion. The cat eats the dog. The dog chases the lion. The dog needs the cat. The lion chases the dog. The lion eats the dog. The lion is nice. If someone needs the dog then the dog is rough. If someone chases the cat and the cat eats the lion then they eat the lion. If someone chases the lion then the lion chases the dog. If someone chases the dog and they need the lion then they are red. If someone chases the dog then they eat the cat. If the lion is nice and the lion needs the cat then the lion needs the dog. If someone eats the cat then the cat needs the lion. If the lion is nice then the lion needs the cat.,The lion eats the cat.,True,OWA,train,3,RelNoneg-OWA-D3-1166,3,7,8,1,2,proof,[(((triple5) -> rule5) OR ((((triple1) -> rule3)) -> rule5) OR ((((triple3) -> rule3)) -> rule5))],"1. Good(Bob)
2. Need(Bob, Apple)
3. Like(Cat, Apple)
4. Eat(Cat, Dog)
5. Chase(Cat, Lion)
6. Eat(Dog, Lion)
7. Nice(Lion)
","1. IF Need(dog) THEN Rough(dog)
2. IF Chase(cat) AND Eat(lion) THEN Eat(lion)
3. IF Chase(lion) THEN Chase(dog)
4. IF Chase(dog) AND Need(lion) THEN Red(dog)
5. IF Chase(dog) THEN Eat(cat)
6. IF Nice(lion) AND Need(cat) THEN Need(dog)
7. IF Eat(cat) THEN Need(lion)
8. IF Nice(lion) THEN Need(cat)
","1. Good(Bob)
2. Need(Bob, Apple)
3. Like(Cat, Apple)
4. Eat(Cat, Dog)
5. Chase(Cat, Lion)
6. Eat(Dog, Lion)
7. Nice(Lion)
","1. Eat(Lion, Cat)
",False,False
9,40483,2,1927,"Anne is cold. Charlie is furry. Charlie is not round. Charlie is young. Gary is not young. Harry is furry. Harry is not young. Round people are kind. If someone is quiet then they are kind. If Anne is cold and Anne is not round then Anne is quiet. If Anne is furry and Anne is cold then Anne is quiet. If someone is cold and kind then they are furry. Cold people are quiet. Furry, quiet people are young. If someone is young and kind then they are not smart.",Anne is quiet.,True,OWA,train,5,AttNeg-OWA-D5-186,5,7,8,1,2,proof,[(((triple1) -> rule6))],"1. Cold(Anne)
2. Furry(Charlie)
3. Not Round(Charlie)
4. Young(Charlie)
5. Not Young(Gary)
6. Furry(Harry)
7. Not Young(Harry)
","1. IF Kind(Round) THEN Kind(Someone)
2. IF Quiet(Someone) THEN Kind(Anne)
3. IF Cold(Anne) AND NOT Round(Anne) THEN Quiet(Anne)
4. IF Cold(Anne) AND Furry(Anne) THEN Quiet(Anne)
5. IF Kind(Anne) AND Cold(Anne) THEN Furry(Anne)
6. IF Cold(Someone) THEN Quiet(Someone)
7. IF Furry(Someone) AND Young(Someone) THEN Not Kind(Someone)
","1. Cold(Anne)
2. Furry(Charlie)
3. Not Round(Charlie)
4. Young(Charlie)
5. Not Young(Gary)
6. Furry(Harry)
7. Not Young(Harry)
8. NOTHING
","1. Quiet(Anne)
",False,False
