,nr,q_nr,theory_nr,theory,question,answer,meta_folder,meta_file,meta_depth,meta_id,D_maxD,D_NFact,D_NRule,Q_Dep,Q_Len,Q_strategy,Q_proofs,formulated_facts_str,formulated_rules_str,resulted_new_facts_list,formulated_query_list,answer_code,answer_LLM
0,7763,6,545,"Anne is not blue. Anne is green. Bob is blue. Bob is cold. Bob is kind. Charlie is kind. Charlie is nice. If someone is white then they are big. If someone is big then they are kind. If someone is green and white then they are not blue. Big people are not nice. All blue, kind people are white. If someone is cold and nice then they are white. If Charlie is big then Charlie is kind. If Charlie is kind then Charlie is nice.",Bob is not nice.,True,OWA,train,3,AttNeg-OWA-D3-617,3,7,8,3,5,proof,[(((((((triple3 triple5) -> rule5)) -> rule1)) -> rule4))],"1. Not(Anne, Blue)
2. Green(Anne)
3. Blue(Bob)
4. Cold(Bob)
5. Kind(Bob)
6. Kind(Charlie)
7. Nice(Charlie)
","1. IF White(someone) THEN Kind(someone)
2. IF Big(someone) THEN Kind(someone)
3. IF GreenAndWhite(someone) THEN NotBlue(someone)
4. IF Big(person) THEN NotNice(person)
5. IF Blue(person) AND Kind(person) THEN White(person)
6. IF Cold(person) AND Nice(person) THEN White(person)
7. IF Big(Charlie) THEN Kind(Charlie)
8. IF Kind(Charlie) THEN Nice(Charlie)
","1. Not(Anne, Blue)
2. Green(Anne)
3. Blue(Bob)
4. Cold(Bob)
5. Kind(Bob)
6. Kind(Charlie)
7. Nice(Charlie)
8. NOTHING
","1. Not(Bob)
",False,False
1,21045,6,1459,"Anne is green. Anne is quiet. Charlie is quiet. Charlie is not white. Dave is young. Erin is green. Erin is young. If Charlie is young and Charlie is not quiet then Charlie is big. If Anne is green then Anne is big. If something is cold and quiet then it is red. All young, cold things are not big. All green, young things are not cold. Big things are young. If something is young and not red then it is not white. If something is cold then it is white.",Anne is not cold.,True,OWA,train,3,AttNeg-OWA-D3-1387,3,7,8,3,5,proof,[(((triple1 ((((triple1) -> rule2)) -> rule6)) -> rule5))],"1. Green(Anne)
2. Quiet(Anne)
3. Quiet(Charlie)
4. Not White(Charlie)
5. Young(Dave)
6. Green(Erin)
7. Young(Erin)
","1. IF Young(Charlie) AND Not Quiet(Charlie) THEN Big(Charlie)
2. IF Green(Anne) THEN Big(Anne)
3. IF Cold(X) AND Quiet(X) THEN Red(X)
4. IF Young(X) AND Cold(X) THEN Not Big(X)
5. IF Green(X) AND Young(X) THEN Not Cold(X)
6. IF Big(X) THEN Young(X)
7. IF Young(X) AND Not Red(X) THEN Not White(X)
8. IF Cold(X) THEN White(X)
","1. Green(Anne)
2. Quiet(Anne)
3. Quiet(Charlie)
4. Not White(Charlie)
5. Young(Dave)
6. Green(Erin)
7. Young(Erin)
8. NOTHING.
","1. Not(Anne)
",False,True
2,2425,6,114,"Anne is quiet. Bob is big. Bob is nice. Erin is kind. Erin is young. Harry is quiet. Harry is rough. If Harry is young and Harry is kind then Harry is big. If someone is young and not quiet then they are not nice. If someone is rough and quiet then they are nice. Nice people are cold. Kind, big people are young. If someone is kind then they are young. If someone is rough and cold then they are kind. If Anne is young then Anne is nice.",Harry is kind.,True,OWA,dev,5,AttNeg-OWA-D5-417,5,7,8,3,6,proof,[(((triple7 ((((triple7 triple6) -> rule3)) -> rule4)) -> rule7))],"1. Quiet(Anne)
2. Big(Bob)
3. Nice(Bob)
4. Kind(Erin)
5. Young(Erin)
6. Quiet(Harry)
7. Rough(Harry)
","1. IF Young(Harry) AND Kind(Harry) THEN Big(Harry)
2. IF Young(someone) AND Not Quiet(someone) THEN Not Nice(someone)
3. IF Rough(someone) AND Quiet(someone) THEN Nice(someone)
4. IF Nice(people) THEN Cold(people)
5. IF Big(people) THEN Young(people)
6. IF Kind(Harry) THEN Young(Harry)
7. IF Rough(Anne) THEN Nice(Anne)
","1. Quiet(Anne)
2. Big(Bob)
3. Nice(Bob)
4. Kind(Erin)
5. Young(Erin)
6. Quiet(Harry)
7. Rough(Harry)
","1. Kind(Harry)
",False,False
3,56375,6,3914,"Dave is cold. Dave is red. Erin is white. Fiona is cold. Fiona is quiet. Fiona is not red. Fiona is smart. If Erin is not cold then Erin is smart. If someone is kind and not red then they are not smart. All white people are smart. Cold, red people are smart. All smart people are blue. If someone is quiet and cold then they are white. Red, kind people are white. Blue, cold people are white.",Dave is white.,True,OWA,train,3,AttNeg-OWA-D3-741,3,7,8,3,6,proof,[(((((((triple1 triple2) -> rule4)) -> rule5) triple1) -> rule8))],"1. Cold(Dave)
2. Red(Dave)
3. White(Erin)
4. Cold(Fiona)
5. Quiet(Fiona)
6. Not Red(Fiona)
7. Smart(Fiona)
","1. IF Not Cold(Erin) THEN Smart(Erin)
2. IF Not Kind(Someone) THEN Not Smart(Someone)
3. IF White(Person) THEN Smart(Person)
4. IF Cold, Red(Person) THEN Smart(Person)
5. IF Smart(Person) THEN Blue(Person)
6. IF Quiet(Person) AND Cold(Person) THEN White(Person)
7. IF Red, Kind(Person) THEN White(Person)
8. IF Blue, Cold(Person) THEN White(Person)
","1. Cold(Dave)
2. Red(Dave)
3. White(Erin)
4. Cold(Fiona)
5. Quiet(Fiona)
6. Not Red(Fiona)
7. Smart(Fiona)
8. NOTHING
","1. White(Dave)
",False,False
4,48377,6,3357,The bald eagle does not visit the rabbit. The rabbit is rough. The rabbit is young. The rabbit needs the bald eagle. The rabbit does not need the tiger. The tiger chases the bald eagle. The tiger needs the rabbit. If someone needs the rabbit and they chase the bald eagle then the bald eagle is rough. If someone visits the bald eagle then the bald eagle is young. If someone is cold then they need the rabbit. If someone needs the bald eagle then they need the rabbit. If someone is rough then they need the bald eagle. If someone needs the tiger and the tiger does not visit the bald eagle then they visit the tiger. If someone needs the tiger then they visit the tiger. If someone visits the tiger then they do not chase the rabbit.,The bald eagle needs the rabbit.,True,OWA,train,3,RelNeg-OWA-D3-365,3,7,8,3,5,proof,[(((((((triple7 triple6) -> rule1)) -> rule5)) -> rule4))],"1. Good(Bob)
2. Need(Bob, Apple)
3. Like(Cat, Apple)
4. Rough(Rabbit)
5. Young(Rabbit)
6. Need(Rabbit, Bald Eagle)
7. Does Not Need(Rabbit, Tiger)
8. Chases(Tiger, Bald Eagle)
9. Need(Tiger, Rabbit)
","1. IF Need(rabbit) AND Chase(bald eagle), THEN Rough(bald eagle)
2. IF Visit(bald eagle), THEN Young(bald eagle)
3. IF Need(rabbit), THEN Visit(rabbit)
4. IF Need(bald eagle), THEN Visit(bald eagle)
5. IF Rough(bald eagle), THEN Visit(tiger)
6. IF Visit(tiger), THEN DoNotChase(rabbit)
","1. Good(Bob)
2. Need(Bob, Apple)
3. Like(Cat, Apple)
4. Rough(Rabbit)
5. Young(Rabbit)
6. Need(Rabbit, Bald Eagle)
7. Does Not Need(Rabbit, Tiger)
8. Chases(Tiger, Bald Eagle)
9. Need(Tiger, Rabbit)
10. NOTHING
","1. Need(BaldEagle, Rabbit)
",False,False
5,19109,6,1328,The bald eagle is kind. The bald eagle likes the cow. The cow is blue. The cow is kind. The cow is not red. The mouse is cold. The mouse is green. If something is blue then it visits the mouse. If the mouse is blue then the mouse does not chase the bald eagle. If something chases the cow then the cow does not like the bald eagle. If something likes the bald eagle then the bald eagle is red. If something visits the mouse then it likes the bald eagle. If something is green then it does not like the bald eagle. If something visits the mouse then the mouse does not visit the cow. If something is cold and it likes the mouse then the mouse is cold.,The bald eagle is red.,True,OWA,train,3,RelNeg-OWA-D3-24,3,7,8,3,4,proof,[(((((((triple3) -> rule1)) -> rule5)) -> rule4))],"1. Kind(BaldEagle)
2. Like(BaldEagle, Cow)
3. Blue(Cow)
4. Kind(Cow)
5. NotRed(Cow)
6. Cold(Mouse)
7. Green(Mouse)
","1. IF Blue(x) THEN Visit(x, Mouse)
2. IF Blue(Mouse) THEN NOT Chase(x, BaldEagle)
3. IF Chase(x, Cow) THEN NotLike(x, BaldEagle)
4. IF Like(x, BaldEagle) THEN Red(BaldEagle)
5. IF Visit(x, Mouse) THEN Like(x, BaldEagle)
6. IF Green(x) THEN NotLike(x, BaldEagle)
7. IF Visit(x, Mouse) THEN NotVisit(x, Cow)
8. IF Cold(x) AND Like(x, Mouse) THEN Cold(Mouse)
","1. Kind(BaldEagle)
2. Like(BaldEagle, Cow)
3. Blue(Cow)
4. Kind(Cow)
5. NotRed(Cow)
6. Cold(Mouse)
7. Green(Mouse)
8. NOTHING
","1. Red(Bald Eagle)
",False,False
6,4595,6,315,The bald eagle eats the squirrel. The bald eagle is not young. The squirrel chases the bald eagle. The squirrel is kind. The squirrel is rough. The squirrel is young. The squirrel needs the bald eagle. If something needs the bald eagle and it chases the squirrel then the bald eagle is not red. If something chases the squirrel and it does not need the squirrel then it does not chase the bald eagle. If something is red and it chases the squirrel then it is nice. If something needs the squirrel then the squirrel eats the bald eagle. If the bald eagle eats the squirrel then the squirrel does not eat the bald eagle. If something needs the squirrel and it chases the squirrel then it is red. If something is rough and it chases the bald eagle then it chases the squirrel. If something chases the squirrel then the squirrel is red.,The squirrel is nice.,True,OWA,test,3,RelNeg-OWA-D3-595,3,7,8,3,8,proof,[(((((((triple5 triple3) -> rule7)) -> rule8) ((triple5 triple3) -> rule7)) -> rule3))],"1. Eat(BaldEagle, Squirrel)
2. NotYoung(BaldEagle)
3. Chase(Squirrel, BaldEagle)
4. Kind(Squirrel)
5. Rough(Squirrel)
6. Young(Squirrel)
7. Need(Squirrel, BaldEagle)
","1. IF Need(eagle, squirrel) AND Chase(eagle, squirrel), THEN NotRed(eagle)
2. IF Chase(squirrel), THEN DoesNotChase(eagle)
3. IF Red(eagle) AND Chase(squirrel), THEN Nice(squirrel)
4. IF Need(squirrel), THEN Eat(squirrel, eagle)
5. IF Eat(eagle, squirrel), THEN DoesNotEat(squirrel, eagle)
6. IF Need(squirrel) AND Chase(squirrel), THEN Red(eagle)
7. IF Rough(eagle) AND Chase(squirrel), THEN Chase(squirrel)
8. IF Chase(squirrel), THEN Red(squirrel)
","1. Eat(BaldEagle, Squirrel)
2. NotYoung(BaldEagle)
3. Chase(Squirrel, BaldEagle)
4. Kind(Squirrel)
5. Rough(Squirrel)
6. Young(Squirrel)
7. Need(Squirrel, BaldEagle)
8. NOTHING.
","1. Nice(Squirrel)
",False,False
7,2245,6,156,Anne is green. Anne is red. Dave is green. Dave is nice. Erin is green. Harry is nice. Harry is round. All furry things are round. If something is quiet and red then it is round. If something is green and red then it is round. Round things are red. All furry things are quiet. All green things are red. If something is round then it is quiet. If Dave is red then Dave is green.,Dave is quiet.,True,OWA,dev,3,AttNoneg-OWA-D3-210,3,7,8,3,5,proof,[(((((triple3 ((triple3) -> rule6)) -> rule3)) -> rule7))],"1. Green(Anne)
2. Red(Anne)
3. Green(Dave)
4. Nice(Dave)
5. Green(Erin)
6. Nice(Harry)
7. Round(Harry)
","1. IF Furry(thing) THEN Round(thing)
2. IF Quiet(thing) AND Red(thing) THEN Round(thing)
3. IF Green(thing) AND Red(thing) THEN Round(thing)
4. IF Round(thing) THEN Red(thing)
5. IF Furry(thing) THEN Quiet(thing)
6. IF Green(Dave) THEN Red(Dave)
","1. Green(Anne)
2. Red(Anne)
3. Green(Dave)
4. Nice(Dave)
5. Green(Erin)
6. Nice(Harry)
7. Round(Harry)
8. NOTHING.
","1. Quiet(Dave)
",False,False
8,9197,6,438,"Bob is big. Bob is smart. Charlie is blue. Dave is big. Erin is blue. Erin is quiet. Erin is round. All big, round people are blue. Rough people are round. All white people are quiet. Rough people are round. If Dave is big then Dave is white. If someone is quiet then they are rough. All quiet people are blue. Round, quiet people are smart.",Dave is blue.,True,OWA,train,5,AttNoneg-OWA-D5-1154,5,7,8,3,4,proof,[(((((((triple4) -> rule5)) -> rule3)) -> rule7) OR ((triple4 ((((((((triple4) -> rule5)) -> rule3)) -> rule6)) -> rule2)) -> rule1) OR ((triple4 ((((((((triple4) -> rule5)) -> rule3)) -> rule6)) -> rule4)) -> rule1))],"1. Big(Bob)
2. Smart(Bob)
3. Blue(Charlie)
4. Big(Dave)
5. Blue(Erin)
6. Quiet(Erin)
7. Round(Erin)
","1. IF Big(person) AND Round(person) THEN Blue(person)
2. IF Rough(person) THEN Round(person)
3. IF White(person) THEN Quiet(person)
4. IF Big(Dave) THEN White(Dave)
5. IF Quiet(person) THEN Rough(person)
6. IF Quiet(person) THEN Blue(person)
7. IF Round(person) AND Quiet(person) THEN Smart(person)
","1. Big(Bob)
2. Smart(Bob)
3. Blue(Charlie)
4. Big(Dave)
5. Blue(Erin)
6. Quiet(Erin)
7. Round(Erin)
","1. Blue(Dave)
",False,False
9,313,6,15,"Bob is not furry. Bob is quiet. Erin is quiet. Fiona is nice. Fiona is red. Gary is nice. Gary is red. If someone is nice and cold then they are furry. If Gary is green then Gary is not red. If someone is cold then they are red. All quiet, red people are green. If someone is cold and furry then they are green. All cold, quiet people are smart. Cold, green people are quiet. If Fiona is nice then Fiona is cold.",Fiona is green.,True,OWA,dev,5,AttNeg-OWA-D5-1071,5,7,8,3,7,proof,[(((((triple4) -> rule8) ((triple4 ((triple4) -> rule8)) -> rule1)) -> rule5))],"1. Not Furry(Bob)
2. Quiet(Bob)
3. Quiet(Erin)
4. Nice(Fiona)
5. Red(Fiona)
6. Nice(Gary)
7. Red(Gary)
","1. IF Nice(person) AND Cold(person) THEN Furry(person)
2. IF Gary IS Green THEN NOT Red(Gary)
3. IF Cold(person) THEN Red(person)
4. IF All Quiet, Red People ARE Green THEN Green(person)
5. IF Cold(person) AND Furry(person) THEN Green(person)
6. IF Cold, Quiet People ARE Smart THEN Smart(person)
7. IF Cold, Green People ARE Quiet THEN Quiet(person)
8. IF Nice(Fiona) THEN Cold(Fiona)
","1. Not Furry(Bob)
2. Quiet(Bob)
3. Quiet(Erin)
4. Nice(Fiona)
5. Red(Fiona)
6. Nice(Gary)
7. Red(Gary)
8. NOTHING.
","1. Green(Fiona)
",False,False
