,nr,q_nr,theory_nr,theory,question,answer,meta_folder,meta_file,meta_depth,meta_id,D_maxD,D_NFact,D_NRule,Q_Dep,Q_Len,Q_strategy,Q_proofs
342336,42313,0,2940,The cow is green. The cow is not kind. The cow does not visit the lion. The dog chases the lion. The lion eats the cow. The lion is red. The lion visits the dog. If someone chases the lion and they visit the lion then they eat the cow. If someone is kind then they eat the dog. If someone visits the dog and they are red then they chase the cow. If someone chases the lion and they are not kind then they are blue. If the dog chases the cow then the dog visits the cow. If someone visits the dog then they visit the cow. If someone chases the cow then the cow visits the dog. If someone eats the dog and the dog does not chase the cow then they are big.,The lion is red.,True,OWA,train,3,RelNeg-OWA-D3-690,3,7,8,0,1,proof,[(triple6)]
316630,16607,0,1157,The bear sees the dog. The dog eats the mouse. The mouse is blue. The mouse is kind. The mouse sees the dog. The tiger needs the dog. The tiger sees the dog. If something is blue then it needs the bear. If something sees the bear and the bear sees the tiger then it is kind. If the tiger needs the dog and the tiger is nice then the tiger eats the bear. If something is red then it eats the dog. If something eats the mouse then it needs the mouse. If something is blue and it needs the bear then it is red. If the tiger is kind then the tiger sees the dog. If something is kind and nice then it sees the mouse.,The mouse sees the dog.,True,OWA,train,3,RelNoneg-OWA-D3-736,3,7,8,0,1,proof,[(triple5)]
25050,25051,0,6782,"The cow chases the lion. The cow is round. The lion needs the tiger. The squirrel chases the tiger. The squirrel needs the cow. The squirrel needs the tiger. The tiger is green. Blue, green people are round. If the lion likes the tiger then the tiger likes the squirrel. If someone is green and they chase the lion then they like the tiger. If someone is kind and green then they like the tiger. If someone needs the cow and the cow chases the lion then the cow needs the squirrel. If someone needs the cow then the cow likes the lion. If someone is kind then they chase the tiger. If someone likes the squirrel then the squirrel chases the tiger.",The squirrel needs the tiger.,True,OWA,train,0,RelNoneg-OWA-D0-5350,1,7,8,0,1,proof,[(triple6)]
16902,16903,0,4582,The cat chases the squirrel. The cat likes the squirrel. The dog chases the cat. The dog chases the mouse. The mouse is cold. The mouse sees the dog. The squirrel is green. If someone sees the squirrel then they are kind. If someone chases the cat and the cat sees the dog then the cat does not like the dog. If someone chases the squirrel then the squirrel likes the cat. If the cat likes the dog then the cat is not kind. If someone is green then they see the cat. If someone likes the cat then the cat likes the mouse. If someone chases the squirrel and they see the dog then the dog chases the squirrel. If someone sees the cat and they like the mouse then they see the dog.,The cat likes the squirrel.,True,OWA,train,0,RelNeg-OWA-D0-5133,2,7,8,0,1,proof,[(triple2)]
66036,66037,0,17852,"Charlie is kind. Charlie is quiet. Charlie is red. Charlie is rough. Charlie is round. Charlie is smart. Charlie is young. If Charlie is kind then Charlie is rough. If Charlie is not rough then Charlie is round. All round, kind people are smart. Kind people are smart. All quiet people are smart. If someone is rough and not kind then they are smart. All quiet, round people are red. Round, kind people are red.",Charlie is smart.,True,OWA,train,0,AttNeg-OWA-D0-2229,0,7,8,0,1,proof,[(triple6 OR ((triple1) -> rule4) OR ((triple2) -> rule5) OR ((triple5 triple1) -> rule3))]
465543,65484,1,3119,"Bob is big. Bob is smart. Dave is blue. Dave is white. Gary is rough. Harry is blue. Harry is nice. If Harry is rough then Harry is young. All young people are big. If someone is blue and rough then they are smart. All blue people are smart. White people are blue. All white, rough people are not blue. Nice, big people are not white. All smart, nice people are rough.",Dave is not white.,False,OWA,train,5,AttNeg-OWA-D5-1194,5,7,8,0,1,inv-proof,[(triple4)]
43675,43676,1,11815,The bear chases the cat. The cat sees the bear. The rabbit is cold. The squirrel is young. The squirrel needs the bear. The squirrel needs the rabbit. The squirrel sees the rabbit. If something chases the bear and it is cold then it chases the cat. If something needs the rabbit and it chases the cat then it sees the bear. If something is cold and it chases the squirrel then the squirrel needs the rabbit. If something is kind then it chases the bear. If the cat chases the rabbit and the rabbit needs the bear then the bear chases the cat. If something is young then it needs the rabbit. If something chases the squirrel and the squirrel chases the bear then the squirrel sees the cat. If something needs the rabbit and the rabbit sees the cat then the cat needs the rabbit.,The rabbit is not cold.,False,OWA,train,0,RelNoneg-OWA-D0-5128,0,7,8,0,1,inv-proof,[(triple3)]
104381,4382,1,566,The cow is big. The cow is blue. The mouse chases the cow. The mouse is blue. The mouse likes the cow. The tiger is nice. The tiger needs the mouse. If something chases the tiger then the tiger chases the mouse. If the cow likes the tiger then the cow needs the tiger. If something needs the tiger then it likes the mouse. If something is blue and it likes the cow then the cow likes the mouse. If something chases the cow then the cow is red. If something is blue and it needs the tiger then the tiger chases the cow. If something needs the cow then it is young. If something is red then it chases the tiger.,The mouse does not chase the cow.,False,OWA,train,1,RelNoneg-OWA-D1-398,3,7,8,0,1,inv-proof,[(triple3)]
85685,15780,1,4246,"Charlie is big. Charlie is cold. Charlie is kind. Charlie is nice. Charlie is quiet. Charlie is rough. Charlie is round. If something is rough then it is big. If Charlie is cold and Charlie is kind then Charlie is rough. If Charlie is rough and Charlie is kind then Charlie is quiet. Quiet, kind things are cold. Nice, round things are quiet. Nice things are kind. If something is kind then it is nice. Big, round things are kind.",Charlie is not round.,False,OWA,test,0,AttNoneg-OWA-D0-2898,0,7,8,0,1,inv-proof,[(triple7)]
400137,78,1,4,"Anne is not kind. Anne is not rough. Anne is young. Charlie is kind. Dave is nice. Gary is nice. Gary is rough. All kind, young people are furry. If someone is white and not kind then they are not furry. If someone is white then they are young. If someone is nice and rough then they are white. If Charlie is nice then Charlie is rough. Kind, nice people are rough. If someone is kind then they are nice. If someone is kind and not white then they are cold.",Anne is rough.,False,OWA,train,5,AttNeg-OWA-D5-63,5,7,8,0,1,inv-proof,[(triple2)]
