,nr,q_nr,theory_nr,theory,question,answer,meta_folder,meta_file,meta_depth,meta_id,D_maxD,D_NFact,D_NRule,Q_Dep,Q_Len,Q_strategy,Q_proofs
342336,42313,0,2940,The cow is green. The cow is not kind. The cow does not visit the lion. The dog chases the lion. The lion eats the cow. The lion is red. The lion visits the dog. If someone chases the lion and they visit the lion then they eat the cow. If someone is kind then they eat the dog. If someone visits the dog and they are red then they chase the cow. If someone chases the lion and they are not kind then they are blue. If the dog chases the cow then the dog visits the cow. If someone visits the dog then they visit the cow. If someone chases the cow then the cow visits the dog. If someone eats the dog and the dog does not chase the cow then they are big.,The lion is red.,True,OWA,train,3,RelNeg-OWA-D3-690,3,7,8,0,1,proof,[(triple6)]
316630,16607,0,1157,The bear sees the dog. The dog eats the mouse. The mouse is blue. The mouse is kind. The mouse sees the dog. The tiger needs the dog. The tiger sees the dog. If something is blue then it needs the bear. If something sees the bear and the bear sees the tiger then it is kind. If the tiger needs the dog and the tiger is nice then the tiger eats the bear. If something is red then it eats the dog. If something eats the mouse then it needs the mouse. If something is blue and it needs the bear then it is red. If the tiger is kind then the tiger sees the dog. If something is kind and nice then it sees the mouse.,The mouse sees the dog.,True,OWA,train,3,RelNoneg-OWA-D3-736,3,7,8,0,1,proof,[(triple5)]
25050,25051,0,6782,"The cow chases the lion. The cow is round. The lion needs the tiger. The squirrel chases the tiger. The squirrel needs the cow. The squirrel needs the tiger. The tiger is green. Blue, green people are round. If the lion likes the tiger then the tiger likes the squirrel. If someone is green and they chase the lion then they like the tiger. If someone is kind and green then they like the tiger. If someone needs the cow and the cow chases the lion then the cow needs the squirrel. If someone needs the cow then the cow likes the lion. If someone is kind then they chase the tiger. If someone likes the squirrel then the squirrel chases the tiger.",The squirrel needs the tiger.,True,OWA,train,0,RelNoneg-OWA-D0-5350,1,7,8,0,1,proof,[(triple6)]
16902,16903,0,4582,The cat chases the squirrel. The cat likes the squirrel. The dog chases the cat. The dog chases the mouse. The mouse is cold. The mouse sees the dog. The squirrel is green. If someone sees the squirrel then they are kind. If someone chases the cat and the cat sees the dog then the cat does not like the dog. If someone chases the squirrel then the squirrel likes the cat. If the cat likes the dog then the cat is not kind. If someone is green then they see the cat. If someone likes the cat then the cat likes the mouse. If someone chases the squirrel and they see the dog then the dog chases the squirrel. If someone sees the cat and they like the mouse then they see the dog.,The cat likes the squirrel.,True,OWA,train,0,RelNeg-OWA-D0-5133,2,7,8,0,1,proof,[(triple2)]
66036,66037,0,17852,"Charlie is kind. Charlie is quiet. Charlie is red. Charlie is rough. Charlie is round. Charlie is smart. Charlie is young. If Charlie is kind then Charlie is rough. If Charlie is not rough then Charlie is round. All round, kind people are smart. Kind people are smart. All quiet people are smart. If someone is rough and not kind then they are smart. All quiet, round people are red. Round, kind people are red.",Charlie is smart.,True,OWA,train,0,AttNeg-OWA-D0-2229,0,7,8,0,1,proof,[(triple6 OR ((triple1) -> rule4) OR ((triple2) -> rule5) OR ((triple5 triple1) -> rule3))]
53166,53167,0,14365,Harry is not blue. Harry is cold. Harry is furry. Harry is not green. Harry is not kind. Harry is red. Harry is not round. If someone is cold and round then they are green. Blue people are green. If Harry is blue then Harry is not round. All kind people are red. If someone is kind then they are red. If Harry is cold then Harry is red. If someone is green and blue then they are not kind. If someone is green and not kind then they are furry.,Harry is cold.,True,OWA,train,0,AttNeg-OWA-D0-2600,0,7,8,0,1,proof,[(triple2)]
958,959,0,259,"Charlie is big. Charlie is blue. Charlie is furry. Charlie is nice. Charlie is quiet. Charlie is round. Charlie is young. If someone is young and round then they are blue. Nice, quiet people are big. If Charlie is big then Charlie is nice. Nice people are furry. If someone is nice and quiet then they are blue. Quiet, round people are furry. If Charlie is nice then Charlie is round. If someone is round and blue then they are young.",Charlie is furry.,True,OWA,train,0,AttNoneg-OWA-D0-883,0,7,8,0,1,proof,[(triple3 OR ((triple4) -> rule4) OR ((triple5 triple6) -> rule6) OR ((((triple1) -> rule3)) -> rule4) OR ((triple5 ((triple4) -> rule7)) -> rule6) OR ((triple5 ((((triple1) -> rule3)) -> rule7)) -> rule6))]
379282,9871,0,681,"Anne is furry. Anne is rough. Anne is smart. Erin is furry. Erin is kind. Erin is quiet. Erin is not white. If Anne is round and Anne is smart then Anne is kind. Rough, smart things are round. If Anne is quiet then Anne is round. Rough, kind things are smart. All kind things are quiet. If Erin is round then Erin is quiet. Round, smart things are kind. If Erin is smart and Erin is not furry then Erin is rough.",Anne is rough.,True,OWA,test,3,AttNeg-OWA-D3-1191,3,7,8,0,1,proof,[(triple2)]
389084,19673,0,1358,Bob is blue. Bob is cold. Bob is furry. Bob is kind. Bob is red. Bob is rough. Fiona is kind. If Fiona is cold then Fiona is furry. If Fiona is rough and Fiona is red then Fiona is kind. All cold people are red. If someone is rough and kind then they are furry. Kind people are rough. If Fiona is kind and Fiona is rough then Fiona is furry. If someone is furry then they are cold. All cold people are kind.,Bob is red.,True,OWA,test,3,AttNoneg-OWA-D3-1493,4,7,8,0,1,proof,[(triple5 OR ((triple2) -> rule3) OR ((((triple3) -> rule7)) -> rule3) OR ((((((triple6 triple4) -> rule4)) -> rule7)) -> rule3) OR ((((((((triple4) -> rule5) triple4) -> rule4)) -> rule7)) -> rule3))]
76302,6397,0,1727,The bald eagle chases the lion. The bald eagle eats the tiger. The bald eagle is not red. The bald eagle is rough. The lion needs the bald eagle. The tiger does not eat the bald eagle. The tiger needs the bald eagle. If someone is blue then they are not red. If someone eats the lion then they do not need the tiger. If the tiger is young then the tiger does not chase the bald eagle. If someone is young and they need the tiger then they are not big. If someone needs the lion then they are not young. If the lion eats the bald eagle and the bald eagle chases the lion then the lion is big. If the tiger is big and the tiger does not eat the lion then the lion chases the tiger. If the bald eagle is red then the bald eagle is big.,The bald eagle eats the tiger.,True,OWA,test,0,RelNeg-OWA-D0-5165,0,7,8,0,1,proof,[(triple2)]
1050,1051,0,284,"Harry is not furry. Harry is kind. Harry is red. Harry is rough. Harry is not round. Harry is smart. Harry is white. All kind, furry people are white. If someone is rough and not round then they are not furry. Kind people are smart. If someone is white then they are smart. If someone is red then they are rough. If someone is round then they are not rough. If Harry is furry then Harry is kind. All furry, rough people are red.",Harry is smart.,True,OWA,train,0,AttNeg-OWA-D0-4408,0,7,8,0,1,proof,[(triple6 OR ((triple2) -> rule3) OR ((triple7) -> rule4))]
316902,16879,0,1175,"Anne is blue. Anne is nice. Bob is blue. Bob is round. Dave is kind. Dave is not nice. Erin is nice. If someone is white then they are kind. If Anne is not round then Anne is not kind. If someone is round and not blue then they are not white. All nice, round people are rough. All blue people are nice. If someone is kind and smart then they are nice. If someone is nice and not white then they are not smart. If someone is rough then they are not smart.",Dave is kind.,True,OWA,train,3,AttNeg-OWA-D3-1698,3,7,8,0,1,proof,[(triple5)]
439972,39913,0,1901,"Anne is not blue. Anne is cold. Charlie is cold. Fiona is cold. Fiona is rough. Harry is blue. Harry is not nice. Big, cold things are not white. If something is cold and not blue then it is big. If something is red and not white then it is rough. Red things are rough. If something is big and not white then it is nice. All white things are not nice. If something is white and not blue then it is nice. Nice things are red.",Harry is blue.,True,OWA,train,5,AttNeg-OWA-D5-151,5,7,8,0,1,proof,[(triple6)]
