,nr,q_nr,theory_nr,theory,question,answer,meta_folder,meta_file,meta_depth,meta_id,D_maxD,D_NFact,D_NRule,Q_Dep,Q_Len,Q_strategy,Q_proofs
382884,13473,4,932,"Anne is furry. Anne is not kind. Anne is not nice. Anne is red. Bob is not round. Dave is furry. Dave is not nice. If something is furry and round then it is cold. If something is white and furry then it is cold. If something is cold then it is red. All kind, white things are round. Red things are round. Cold things are not white. If Bob is not nice then Bob is not round. If Dave is nice and Dave is round then Dave is not kind.",Anne is cold.,True,OWA,test,3,AttNeg-OWA-D3-1355,3,7,8,2,4,proof,[(((triple1 ((triple4) -> rule5)) -> rule1))]
386966,17555,4,1212,"Anne is furry. Anne is nice. Anne is rough. Anne is young. Dave is green. Dave is rough. Dave is young. If something is round and rough then it is green. Green things are white. If something is white and green then it is young. White, nice things are furry. If Anne is nice then Anne is furry. Young, rough things are white. All white things are round. Round things are rough.",Anne is round.,True,OWA,test,3,AttNoneg-OWA-D3-1245,3,7,8,2,4,proof,[(((((triple4 triple3) -> rule6)) -> rule7))]
479664,9795,4,464,"Anne is cold. Anne is furry. Anne is red. Dave is young. Gary is nice. Gary is young. Harry is not blue. All nice people are red. All furry people are blue. All furry, red people are quiet. Blue people are cold. Young people are cold. Cold people are furry. If Dave is blue then Dave is red. If Gary is furry then Gary is nice.",Gary is furry.,True,OWA,test,5,AttNeg-OWA-D5-103,5,7,8,2,3,proof,[(((((triple6) -> rule5)) -> rule6))]
454296,54237,4,2579,"Charlie is blue. Charlie is kind. Charlie is rough. Dave is cold. Erin is red. Erin is rough. Gary is furry. Kind people are furry. If Dave is kind then Dave is furry. If someone is furry and red then they are quiet. Cold people are blue. If someone is rough then they are quiet. All blue people are quiet. All cold, quiet people are red. If Dave is red then Dave is kind.",Dave is quiet.,True,OWA,train,5,AttNoneg-OWA-D5-1236,5,7,8,2,3,proof,[(((((triple4) -> rule4)) -> rule6))]
217418,17405,4,1565,The cat eats the tiger. The cat is cold. The cat is young. The cat visits the tiger. The tiger is green. The tiger sees the cat. The tiger visits the cat. If something eats the cat and it eats the tiger then it sees the cat. If the cat eats the tiger then the cat sees the tiger. If something is young then it sees the tiger. If something eats the tiger then the tiger visits the cat. If something is young and it sees the tiger then the tiger is cold. If something eats the cat then it is green. If something is cold then it sees the cat. If something is young then it eats the tiger.,The tiger is cold.,True,OWA,train,2,RelNoneg-OWA-D2-603,2,7,8,2,4,proof,[(((triple3 ((triple1) -> rule2)) -> rule5) OR ((triple3 ((triple3) -> rule3)) -> rule5) OR ((triple3 ((((triple3) -> rule8)) -> rule2)) -> rule5))]
452556,52497,4,2496,"Anne is kind. Anne is nice. Anne is young. Erin is red. Gary is blue. Gary is young. Harry is nice. Kind, big people are young. If someone is young then they are red. If Harry is blue and Harry is kind then Harry is nice. All kind people are young. Rough people are big. If someone is big and rough then they are kind. If someone is nice and kind then they are rough. If someone is nice then they are rough.",Harry is big.,True,OWA,train,5,AttNoneg-OWA-D5-786,5,7,8,2,3,proof,[(((((triple7) -> rule8)) -> rule5))]
257180,57167,4,5158,"Anne is kind. Gary is big. Gary is blue. Gary is cold. Gary is furry. Harry is blue. Harry is kind. Furry people are kind. Cold, blue people are kind. All furry, kind people are nice. Nice people are cold. If Harry is white then Harry is cold. If someone is nice then they are furry. All nice, blue people are white. If Harry is blue and Harry is nice then Harry is kind.",Gary is nice.,True,OWA,train,2,AttNoneg-OWA-D2-1432,3,7,8,2,4,proof,[(((triple5 ((triple5) -> rule1)) -> rule3) OR ((triple5 ((triple4 triple3) -> rule2)) -> rule3))]
338224,38201,4,2653,"Bob is green. Bob is quiet. Bob is white. Fiona is green. Gary is kind. Gary is quiet. Harry is kind. All red people are green. Red people are quiet. All big, rough people are green. Green people are red. If Gary is quiet and Gary is green then Gary is big. If Gary is quiet and Gary is big then Gary is rough. If someone is quiet then they are red. Big, green people are kind.",Fiona is quiet.,True,OWA,train,3,AttNoneg-OWA-D3-675,4,7,8,2,3,proof,[(((((triple4) -> rule4)) -> rule2))]
364810,64787,4,4497,"Charlie is blue. Charlie is not kind. Charlie is smart. Charlie is not young. Erin is round. Erin is young. Harry is kind. If someone is quiet then they are green. All quiet, kind people are green. If someone is blue and not round then they are green. Blue, green people are kind. Smart people are blue. If someone is green then they are blue. If Erin is young then Erin is green. If someone is green and not round then they are not quiet.",Erin is blue.,True,OWA,train,3,AttNeg-OWA-D3-137,3,7,8,2,3,proof,[(((((triple6) -> rule7)) -> rule6))]
203568,3555,4,320,"Bob is green. Bob is red. Erin is smart. Fiona is blue. Fiona is quiet. Fiona is smart. Gary is quiet. If someone is green and not blue then they are smart. Blue, green people are red. If Erin is quiet then Erin is not big. If someone is smart and green then they are quiet. If someone is kind then they are not big. Red, green people are kind. All quiet, green people are not kind. If Bob is not smart then Bob is quiet.",Bob is not big.,True,OWA,train,2,AttNeg-OWA-D2-1975,2,7,8,2,4,proof,[(((((triple2 triple1) -> rule6)) -> rule5))]
