,nr,q_nr,theory_nr,theory,question,answer,meta_folder,meta_file,meta_depth,meta_id,D_maxD,D_NFact,D_NRule,Q_Dep,Q_Len,Q_strategy,Q_proofs
491750,1851,8,87,"Anne is white. Erin is round. Erin is white. Gary is cold. Gary is round. Harry is furry. Harry is green. Furry, white people are green. Nice people are round. All round, furry people are green. All cold people are white. All cold, rough people are round. All white people are cold. If someone is cold then they are furry. All furry, green people are rough. All round, green people are cold.",Erin is rough.,True,OWA,dev,5,AttNoneg-OWA-D5-1250,5,7,9,4,9,proof,[(((((((triple3) -> rule6)) -> rule7) ((triple2 ((((triple3) -> rule6)) -> rule7)) -> rule3)) -> rule8) OR ((((((triple3) -> rule6)) -> rule7) ((((((triple3) -> rule6)) -> rule7) triple3) -> rule1)) -> rule8))]
423602,23543,8,1122,The cow is big. The cow needs the tiger. The mouse is blue. The mouse sees the tiger. The rabbit sees the mouse. The tiger is blue. The tiger needs the rabbit. If something needs the tiger then it does not visit the tiger. If something sees the mouse then the mouse sees the cow. If something is nice then it sees the rabbit. If the mouse visits the tiger and the tiger is young then the tiger sees the rabbit. If something needs the rabbit then it visits the cow. If something is young then it sees the cow. If something sees the cow then it needs the rabbit. If the tiger is big then the tiger is blue. If something visits the cow and it sees the cow then the cow needs the rabbit.,The cow needs the rabbit.,True,OWA,train,5,RelNeg-OWA-D5-3,5,7,9,4,7,proof,[(((((((((triple5) -> rule2)) -> rule7)) -> rule5) ((triple5) -> rule2)) -> rule9))]
429424,29365,8,1401,The cat chases the lion. The cat does not chase the mouse. The cat sees the tiger. The lion is nice. The mouse likes the cat. The tiger chases the lion. The tiger likes the mouse. If someone sees the mouse and they are rough then the mouse sees the tiger. If someone sees the lion and the lion likes the tiger then they are nice. If someone likes the tiger then they are nice. If someone is rough then they see the mouse. If someone likes the lion then the lion sees the mouse. If someone chases the tiger and the tiger sees the mouse then the mouse is not big. If someone sees the lion then the lion likes the tiger. If someone likes the lion and they chase the cat then they do not see the lion. If someone sees the tiger and the tiger chases the lion then they are rough.,The mouse is rough.,True,OWA,train,5,RelNeg-OWA-D5-161,5,7,9,4,10,proof,[(((((((((triple3 triple6) -> rule9)) -> rule4) ((triple3 triple6) -> rule9)) -> rule1) triple6) -> rule9))]
481886,12017,8,568,The cat visits the tiger. The lion eats the tiger. The lion does not visit the tiger. The rabbit eats the cat. The rabbit eats the tiger. The rabbit is nice. The tiger is round. If something is rough and not cold then it does not eat the tiger. If something visits the cat and the cat does not eat the lion then the lion is rough. If something visits the cat then the cat eats the rabbit. If something eats the rabbit then the rabbit is blue. If something eats the tiger then the tiger is blue. If something likes the tiger then the tiger eats the rabbit. If something likes the rabbit then it visits the lion. If something visits the tiger and the tiger is blue then the tiger does not eat the cat. If something is blue then it visits the cat.,The rabbit is blue.,True,OWA,test,5,RelNeg-OWA-D5-525,5,7,9,4,5,proof,[(((((((((triple2) -> rule5)) -> rule9)) -> rule3)) -> rule4) OR ((((((((triple5) -> rule5)) -> rule9)) -> rule3)) -> rule4))]
495610,5711,8,269,"Anne is quiet. Charlie is round. Charlie is smart. Erin is green. Erin is kind. Erin is round. Fiona is not furry. All kind people are cold. Furry, round people are cold. If someone is quiet then they are furry. If someone is kind and not smart then they are furry. All cold, smart people are round. If Charlie is round and Charlie is cold then Charlie is green. All smart people are quiet. If Anne is green then Anne is cold. If someone is furry and green then they are not kind.",Charlie is green.,True,OWA,dev,5,AttNeg-OWA-D5-397,5,7,9,4,7,proof,[(((triple2 ((((((triple3) -> rule7)) -> rule3) triple2) -> rule2)) -> rule6))]
470027,158,9,7,The cat likes the tiger. The dog is cold. The dog is nice. The dog likes the mouse. The mouse chases the tiger. The mouse does not eat the cat. The tiger chases the cat. If the cat likes the dog then the dog does not eat the cat. If something is kind then it chases the cat. If something likes the dog then it likes the tiger. If the tiger is nice and the tiger is not young then the tiger does not chase the mouse. If something likes the tiger then it eats the dog. If something eats the dog then the dog likes the tiger. If something eats the dog and it likes the mouse then the mouse is kind. If something eats the cat then the cat does not chase the dog. If something is kind and it does not eat the cat then the cat does not eat the mouse.,The mouse is not kind.,False,OWA,test,5,RelNeg-OWA-D5-428,5,7,9,4,6,inv-proof,[(((((((((triple1) -> rule5)) -> rule6)) -> rule5) triple4) -> rule7))]
492513,2614,9,122,"Anne is young. Bob is red. Bob is rough. Erin is green. Erin is kind. Gary is kind. Gary is round. If Anne is red and Anne is young then Anne is quiet. Round things are kind. If something is green and red then it is rough. If something is round then it is quiet. If something is young then it is round. Kind, red things are young. All red, round things are young. If something is round and quiet then it is green. All red, rough things are kind.",Bob is not quiet.,False,OWA,dev,5,AttNoneg-OWA-D5-836,5,7,9,4,7,inv-proof,[(((((((((triple2 triple3) -> rule9) triple2) -> rule6)) -> rule5)) -> rule4))]
492663,2764,9,129,The bear visits the cow. The cow eats the bear. The lion eats the squirrel. The lion is cold. The lion is red. The lion does not visit the bear. The squirrel is red. If someone is rough then they chase the squirrel. If someone is red and they chase the squirrel then the squirrel visits the bear. If the cow is kind then the cow does not eat the squirrel. If someone is red and they visit the bear then the bear is red. If someone is red then they are rough. If someone visits the bear then they are rough. If someone visits the cow then the cow chases the bear. If the lion visits the bear and the lion does not visit the squirrel then the squirrel is not red. If someone eats the lion and the lion is green then they visit the lion.,The bear is not red.,False,OWA,dev,5,RelNeg-OWA-D5-146,6,7,9,4,7,inv-proof,[(((triple7 ((triple5 ((((triple5) -> rule5)) -> rule1)) -> rule2)) -> rule4) OR ((triple7 ((triple7 ((((triple7) -> rule5)) -> rule1)) -> rule2)) -> rule4))]
451721,51662,9,2458,"Charlie is cold. Charlie is green. Erin is big. Gary is cold. Harry is quiet. Harry is white. Harry is young. All big people are quiet. Cold, young people are big. If Erin is kind then Erin is big. If someone is green then they are big. All quiet, cold people are white. If someone is white and young then they are green. If Harry is cold then Harry is big. All white people are young. All young people are kind.",Charlie is not young.,False,OWA,train,5,AttNoneg-OWA-D5-1231,5,7,9,4,6,inv-proof,[(((((((((triple2) -> rule4)) -> rule1) triple1) -> rule5)) -> rule8))]
485011,15142,9,716,"Bob is green. Charlie is blue. Charlie is white. Erin is big. Erin is blue. Erin is round. Gary is white. Red, green people are white. If someone is green then they are red. Blue, white people are red. Blue, round people are big. If someone is round then they are big. If Gary is red then Gary is white. If someone is white then they are round. All big people are blue. If Bob is round and Bob is white then Bob is smart.",Gary is not red.,False,OWA,test,5,AttNeg-OWA-D5-123,5,7,9,4,6,inv-proof,[(((((((((triple7) -> rule7)) -> rule5)) -> rule8) triple7) -> rule3))]
