,nr,q_nr,theory_nr,theory,question,answer,meta_folder,meta_file,meta_depth,meta_id,D_maxD,D_NFact,D_NRule,Q_Dep,Q_Len,Q_strategy,Q_proofs
307786,7763,6,545,"Anne is not blue. Anne is green. Bob is blue. Bob is cold. Bob is kind. Charlie is kind. Charlie is nice. If someone is white then they are big. If someone is big then they are kind. If someone is green and white then they are not blue. Big people are not nice. All blue, kind people are white. If someone is cold and nice then they are white. If Charlie is big then Charlie is kind. If Charlie is kind then Charlie is nice.",Bob is not nice.,True,OWA,train,3,AttNeg-OWA-D3-617,3,7,8,3,5,proof,[(((((((triple3 triple5) -> rule5)) -> rule1)) -> rule4))]
321068,21045,6,1459,"Anne is green. Anne is quiet. Charlie is quiet. Charlie is not white. Dave is young. Erin is green. Erin is young. If Charlie is young and Charlie is not quiet then Charlie is big. If Anne is green then Anne is big. If something is cold and quiet then it is red. All young, cold things are not big. All green, young things are not cold. Big things are young. If something is young and not red then it is not white. If something is cold then it is white.",Anne is not cold.,True,OWA,train,3,AttNeg-OWA-D3-1387,3,7,8,3,5,proof,[(((triple1 ((((triple1) -> rule2)) -> rule6)) -> rule5))]
492324,2425,6,114,"Anne is quiet. Bob is big. Bob is nice. Erin is kind. Erin is young. Harry is quiet. Harry is rough. If Harry is young and Harry is kind then Harry is big. If someone is young and not quiet then they are not nice. If someone is rough and quiet then they are nice. Nice people are cold. Kind, big people are young. If someone is kind then they are young. If someone is rough and cold then they are kind. If Anne is young then Anne is nice.",Harry is kind.,True,OWA,dev,5,AttNeg-OWA-D5-417,5,7,8,3,6,proof,[(((triple7 ((((triple7 triple6) -> rule3)) -> rule4)) -> rule7))]
356398,56375,6,3914,"Dave is cold. Dave is red. Erin is white. Fiona is cold. Fiona is quiet. Fiona is not red. Fiona is smart. If Erin is not cold then Erin is smart. If someone is kind and not red then they are not smart. All white people are smart. Cold, red people are smart. All smart people are blue. If someone is quiet and cold then they are white. Red, kind people are white. Blue, cold people are white.",Dave is white.,True,OWA,train,3,AttNeg-OWA-D3-741,3,7,8,3,6,proof,[(((((((triple1 triple2) -> rule4)) -> rule5) triple1) -> rule8))]
348400,48377,6,3357,The bald eagle does not visit the rabbit. The rabbit is rough. The rabbit is young. The rabbit needs the bald eagle. The rabbit does not need the tiger. The tiger chases the bald eagle. The tiger needs the rabbit. If someone needs the rabbit and they chase the bald eagle then the bald eagle is rough. If someone visits the bald eagle then the bald eagle is young. If someone is cold then they need the rabbit. If someone needs the bald eagle then they need the rabbit. If someone is rough then they need the bald eagle. If someone needs the tiger and the tiger does not visit the bald eagle then they visit the tiger. If someone needs the tiger then they visit the tiger. If someone visits the tiger then they do not chase the rabbit.,The bald eagle needs the rabbit.,True,OWA,train,3,RelNeg-OWA-D3-365,3,7,8,3,5,proof,[(((((((triple7 triple6) -> rule1)) -> rule5)) -> rule4))]
319132,19109,6,1328,The bald eagle is kind. The bald eagle likes the cow. The cow is blue. The cow is kind. The cow is not red. The mouse is cold. The mouse is green. If something is blue then it visits the mouse. If the mouse is blue then the mouse does not chase the bald eagle. If something chases the cow then the cow does not like the bald eagle. If something likes the bald eagle then the bald eagle is red. If something visits the mouse then it likes the bald eagle. If something is green then it does not like the bald eagle. If something visits the mouse then the mouse does not visit the cow. If something is cold and it likes the mouse then the mouse is cold.,The bald eagle is red.,True,OWA,train,3,RelNeg-OWA-D3-24,3,7,8,3,4,proof,[(((((((triple3) -> rule1)) -> rule5)) -> rule4))]
374006,4595,6,315,The bald eagle eats the squirrel. The bald eagle is not young. The squirrel chases the bald eagle. The squirrel is kind. The squirrel is rough. The squirrel is young. The squirrel needs the bald eagle. If something needs the bald eagle and it chases the squirrel then the bald eagle is not red. If something chases the squirrel and it does not need the squirrel then it does not chase the bald eagle. If something is red and it chases the squirrel then it is nice. If something needs the squirrel then the squirrel eats the bald eagle. If the bald eagle eats the squirrel then the squirrel does not eat the bald eagle. If something needs the squirrel and it chases the squirrel then it is red. If something is rough and it chases the bald eagle then it chases the squirrel. If something chases the squirrel then the squirrel is red.,The squirrel is nice.,True,OWA,test,3,RelNeg-OWA-D3-595,3,7,8,3,8,proof,[(((((((triple5 triple3) -> rule7)) -> rule8) ((triple5 triple3) -> rule7)) -> rule3))]
392002,2245,6,156,Anne is green. Anne is red. Dave is green. Dave is nice. Erin is green. Harry is nice. Harry is round. All furry things are round. If something is quiet and red then it is round. If something is green and red then it is round. Round things are red. All furry things are quiet. All green things are red. If something is round then it is quiet. If Dave is red then Dave is green.,Dave is quiet.,True,OWA,dev,3,AttNoneg-OWA-D3-210,3,7,8,3,5,proof,[(((((triple3 ((triple3) -> rule6)) -> rule3)) -> rule7))]
409256,9197,6,438,"Bob is big. Bob is smart. Charlie is blue. Dave is big. Erin is blue. Erin is quiet. Erin is round. All big, round people are blue. Rough people are round. All white people are quiet. Rough people are round. If Dave is big then Dave is white. If someone is quiet then they are rough. All quiet people are blue. Round, quiet people are smart.",Dave is blue.,True,OWA,train,5,AttNoneg-OWA-D5-1154,5,7,8,3,4,proof,[(((((((triple4) -> rule5)) -> rule3)) -> rule7) OR ((triple4 ((((((((triple4) -> rule5)) -> rule3)) -> rule6)) -> rule2)) -> rule1) OR ((triple4 ((((((((triple4) -> rule5)) -> rule3)) -> rule6)) -> rule4)) -> rule1))]
490212,313,6,15,"Bob is not furry. Bob is quiet. Erin is quiet. Fiona is nice. Fiona is red. Gary is nice. Gary is red. If someone is nice and cold then they are furry. If Gary is green then Gary is not red. If someone is cold then they are red. All quiet, red people are green. If someone is cold and furry then they are green. All cold, quiet people are smart. Cold, green people are quiet. If Fiona is nice then Fiona is cold.",Fiona is green.,True,OWA,dev,5,AttNeg-OWA-D5-1071,5,7,8,3,7,proof,[(((((triple4) -> rule8) ((triple4 ((triple4) -> rule8)) -> rule1)) -> rule5))]
