,nr,q_nr,theory_nr,theory,question,answer,meta_folder,meta_file,meta_depth,meta_id,D_maxD,D_NFact,D_NRule,Q_Dep,Q_Len,Q_strategy,Q_proofs
377050,7639,2,525,"Anne is big. Anne is red. Bob is big. Bob is kind. Bob is round. Bob is smart. Bob is white. If Anne is kind then Anne is red. Red, smart people are white. If Bob is white then Bob is kind. If someone is big and red then they are kind. All white, round people are smart. All kind people are round. All round, blue people are white. Big people are blue.",Bob is blue.,True,OWA,test,3,AttNoneg-OWA-D3-924,4,7,8,1,2,proof,[(((triple3) -> rule8))]
138578,38579,2,4987,The bald eagle is blue. The bald eagle likes the cat. The bald eagle sees the cat. The cat is not big. The cat is not red. The cat sees the bald eagle. The cat visits the bald eagle. If something likes the cat and it visits the cat then the cat does not see the bald eagle. If the bald eagle sees the cat and the bald eagle likes the cat then the cat visits the bald eagle. If something visits the cat then the cat does not like the bald eagle. If something is red and it likes the bald eagle then the bald eagle sees the cat. If something visits the bald eagle and it is blue then it is round. If something visits the bald eagle then it likes the bald eagle. If the bald eagle is blue and the bald eagle sees the cat then the bald eagle is round. If something likes the bald eagle then the bald eagle likes the cat.,The cat likes the bald eagle.,True,OWA,train,1,RelNeg-OWA-D1-3080,1,7,8,1,2,proof,[(((triple7) -> rule6) OR ((((triple3 triple2) -> rule2)) -> rule6))]
471218,1349,2,62,"Charlie is red. Charlie is white. Fiona is green. Gary is red. Gary is white. Harry is kind. Harry is not quiet. If Gary is quiet and Gary is red then Gary is cold. If something is quiet and not white then it is nice. If something is green and kind then it is nice. If something is kind and not red then it is green. Red, kind things are green. If something is red then it is quiet. If Charlie is nice then Charlie is cold. Cold, quiet things are kind.",Gary is quiet.,True,OWA,test,5,AttNeg-OWA-D5-878,5,7,8,1,2,proof,[(((triple4) -> rule6))]
394446,4689,2,325,The bear chases the cow. The cow chases the bear. The cow is red. The cow visits the bear. The dog is big. The dog likes the cow. The dog visits the bear. If something chases the cow then the cow does not visit the dog. If something likes the bear then the bear is not round. If the cow visits the dog and the cow is not big then the cow chases the bear. If something visits the bear then it is round. If something is round then it likes the bear. If something is round then it likes the bear. If something is red and it does not like the bear then it chases the bear. If something chases the bear and it likes the dog then it chases the dog.,The dog is round.,True,OWA,dev,3,RelNeg-OWA-D3-1307,3,7,8,1,2,proof,[(((triple7) -> rule4))]
493496,3597,2,170,The bald eagle is kind. The bald eagle is not red. The bald eagle likes the dog. The dog needs the lion. The lion does not need the bald eagle. The mouse likes the dog. The mouse does not see the dog. If someone needs the mouse then the mouse does not see the bald eagle. If someone needs the dog then the dog needs the lion. If someone is rough then they see the mouse. If someone sees the mouse then the mouse is kind. If someone needs the lion then they do not see the bald eagle. If someone sees the dog then they need the mouse. All kind people are rough. If someone sees the mouse then they like the lion.,The bald eagle is rough.,True,OWA,dev,5,RelNeg-OWA-D5-940,6,7,8,1,2,proof,[(((triple1) -> rule7))]
160109,60110,3,7774,The bald eagle eats the dog. The bald eagle sees the bear. The bald eagle sees the dog. The bear does not visit the dog. The dog is not kind. The dog is nice. The dog sees the bear. If something sees the bear then the bear does not visit the dog. If something eats the bear and it eats the dog then the bear does not see the dog. If something sees the bear then it visits the dog. If something visits the bear and it eats the dog then it is not blue. If something visits the bear then it is big. If something sees the dog and the dog visits the bald eagle then the bald eagle is red. If something eats the dog then it is not red. If something is big and it does not visit the dog then it is not nice.,The bald eagle is red.,False,OWA,train,1,RelNeg-OWA-D1-1655,1,7,8,1,2,inv-proof,[(((triple1) -> rule7))]
399939,10182,3,710,The bald eagle is blue. The bear eats the rabbit. The bear is blue. The bear is nice. The mouse does not visit the rabbit. The rabbit chases the mouse. The rabbit is blue. If someone eats the bald eagle then the bald eagle visits the rabbit. If someone is blue and they do not eat the mouse then the mouse visits the bald eagle. If someone chases the mouse and the mouse is kind then the mouse does not visit the bald eagle. If someone eats the rabbit and they chase the mouse then they are not cold. If the mouse does not eat the bear then the mouse chases the bear. If someone is cold then they visit the mouse. If the rabbit is blue then the rabbit eats the bald eagle. If someone visits the rabbit then the rabbit is not cold.,The rabbit does not eat the bald eagle.,False,OWA,dev,3,RelNeg-OWA-D3-586,3,7,8,1,2,inv-proof,[(((triple7) -> rule7))]
233075,33062,3,2979,"Anne is big. Anne is furry. Harry is big. Harry is furry. Harry is not kind. Harry is rough. Harry is young. Young things are big. If something is kind then it is big. If Anne is green then Anne is young. All big, green things are kind. If something is rough and big then it is not kind. If Anne is rough then Anne is furry. Big, furry things are rough. If Anne is furry and Anne is not rough then Anne is quiet.",Anne is not rough.,False,OWA,train,2,AttNeg-OWA-D2-438,2,7,8,1,3,inv-proof,[(((triple1 triple2) -> rule7))]
225429,25416,3,2292,"Anne is round. Charlie is green. Charlie is white. Dave is blue. Dave is white. Gary is rough. Gary is round. If Anne is round then Anne is furry. Green people are rough. All round, blue people are rough. If someone is blue then they are white. Rough people are blue. If Dave is rough then Dave is blue. Rough people are green. Big people are white.",Gary is not blue.,False,OWA,train,2,AttNoneg-OWA-D2-1912,2,7,8,1,2,inv-proof,[(((triple6) -> rule5))]
220925,20912,3,1880,"Bob is cold. Bob is not furry. Bob is green. Bob is kind. Charlie is cold. Fiona is furry. Fiona is round. If someone is blue and not cold then they are quiet. All green people are not quiet. If Charlie is round and Charlie is quiet then Charlie is kind. If Fiona is blue then Fiona is not kind. Blue people are not round. Cold, kind people are blue. All green people are blue. All blue, round people are furry.",Bob is not blue.,False,OWA,train,2,AttNeg-OWA-D2-1823,2,7,8,1,2,inv-proof,[(((triple3) -> rule7) OR ((triple1 triple4) -> rule6))]
