,nr,q_nr,theory_nr,theory,question,answer,meta_folder,meta_file,meta_depth,meta_id,D_maxD,D_NFact,D_NRule,Q_Dep,Q_Len,Q_strategy,Q_proofs
377050,7639,2,525,"Anne is big. Anne is red. Bob is big. Bob is kind. Bob is round. Bob is smart. Bob is white. If Anne is kind then Anne is red. Red, smart people are white. If Bob is white then Bob is kind. If someone is big and red then they are kind. All white, round people are smart. All kind people are round. All round, blue people are white. Big people are blue.",Bob is blue.,True,OWA,test,3,AttNoneg-OWA-D3-924,4,7,8,1,2,proof,[(((triple3) -> rule8))]
138578,38579,2,4987,The bald eagle is blue. The bald eagle likes the cat. The bald eagle sees the cat. The cat is not big. The cat is not red. The cat sees the bald eagle. The cat visits the bald eagle. If something likes the cat and it visits the cat then the cat does not see the bald eagle. If the bald eagle sees the cat and the bald eagle likes the cat then the cat visits the bald eagle. If something visits the cat then the cat does not like the bald eagle. If something is red and it likes the bald eagle then the bald eagle sees the cat. If something visits the bald eagle and it is blue then it is round. If something visits the bald eagle then it likes the bald eagle. If the bald eagle is blue and the bald eagle sees the cat then the bald eagle is round. If something likes the bald eagle then the bald eagle likes the cat.,The cat likes the bald eagle.,True,OWA,train,1,RelNeg-OWA-D1-3080,1,7,8,1,2,proof,[(((triple7) -> rule6) OR ((((triple3 triple2) -> rule2)) -> rule6))]
471218,1349,2,62,"Charlie is red. Charlie is white. Fiona is green. Gary is red. Gary is white. Harry is kind. Harry is not quiet. If Gary is quiet and Gary is red then Gary is cold. If something is quiet and not white then it is nice. If something is green and kind then it is nice. If something is kind and not red then it is green. Red, kind things are green. If something is red then it is quiet. If Charlie is nice then Charlie is cold. Cold, quiet things are kind.",Gary is quiet.,True,OWA,test,5,AttNeg-OWA-D5-878,5,7,8,1,2,proof,[(((triple4) -> rule6))]
394446,4689,2,325,The bear chases the cow. The cow chases the bear. The cow is red. The cow visits the bear. The dog is big. The dog likes the cow. The dog visits the bear. If something chases the cow then the cow does not visit the dog. If something likes the bear then the bear is not round. If the cow visits the dog and the cow is not big then the cow chases the bear. If something visits the bear then it is round. If something is round then it likes the bear. If something is round then it likes the bear. If something is red and it does not like the bear then it chases the bear. If something chases the bear and it likes the dog then it chases the dog.,The dog is round.,True,OWA,dev,3,RelNeg-OWA-D3-1307,3,7,8,1,2,proof,[(((triple7) -> rule4))]
493496,3597,2,170,The bald eagle is kind. The bald eagle is not red. The bald eagle likes the dog. The dog needs the lion. The lion does not need the bald eagle. The mouse likes the dog. The mouse does not see the dog. If someone needs the mouse then the mouse does not see the bald eagle. If someone needs the dog then the dog needs the lion. If someone is rough then they see the mouse. If someone sees the mouse then the mouse is kind. If someone needs the lion then they do not see the bald eagle. If someone sees the dog then they need the mouse. All kind people are rough. If someone sees the mouse then they like the lion.,The bald eagle is rough.,True,OWA,dev,5,RelNeg-OWA-D5-940,6,7,8,1,2,proof,[(((triple1) -> rule7))]
348646,48623,2,3374,"Charlie is green. Charlie is kind. Erin is kind. Erin is quiet. Erin is red. Gary is quiet. Gary is red. All big, red people are furry. If someone is furry then they are red. If someone is furry then they are big. If someone is green then they are red. Blue people are red. All red people are blue. If someone is kind and red then they are furry. If someone is big and furry then they are kind.",Erin is blue.,True,OWA,train,3,AttNoneg-OWA-D3-1479,3,7,8,1,2,proof,[(((triple5) -> rule6))]
307782,7759,2,545,"Anne is not blue. Anne is green. Bob is blue. Bob is cold. Bob is kind. Charlie is kind. Charlie is nice. If someone is white then they are big. If someone is big then they are kind. If someone is green and white then they are not blue. Big people are not nice. All blue, kind people are white. If someone is cold and nice then they are white. If Charlie is big then Charlie is kind. If Charlie is kind then Charlie is nice.",Bob is white.,True,OWA,train,3,AttNeg-OWA-D3-617,3,7,8,1,3,proof,[(((triple3 triple5) -> rule5))]
124144,24145,2,3119,The cat chases the dog. The cat is blue. The cat is green. The cat sees the dog. The cat visits the dog. The dog is red. The dog is young. If someone chases the cat then they visit the dog. If someone is green and they see the dog then the dog chases the cat. If someone is red and kind then they see the dog. If someone visits the dog then the dog is green. If the dog is red then the dog visits the cat. If the dog visits the cat and the dog chases the cat then the cat chases the dog. If the cat sees the dog then the cat visits the dog. If someone sees the cat and they chase the cat then they see the dog.,The dog visits the cat.,True,OWA,train,1,RelNoneg-OWA-D1-1301,2,7,8,1,2,proof,[(((triple6) -> rule5))]
302478,2455,2,175,The cat chases the lion. The cat eats the dog. The dog chases the lion. The dog needs the cat. The lion chases the dog. The lion eats the dog. The lion is nice. If someone needs the dog then the dog is rough. If someone chases the cat and the cat eats the lion then they eat the lion. If someone chases the lion then the lion chases the dog. If someone chases the dog and they need the lion then they are red. If someone chases the dog then they eat the cat. If the lion is nice and the lion needs the cat then the lion needs the dog. If someone eats the cat then the cat needs the lion. If the lion is nice then the lion needs the cat.,The lion eats the cat.,True,OWA,train,3,RelNoneg-OWA-D3-1166,3,7,8,1,2,proof,[(((triple5) -> rule5) OR ((((triple1) -> rule3)) -> rule5) OR ((((triple3) -> rule3)) -> rule5))]
440542,40483,2,1927,"Anne is cold. Charlie is furry. Charlie is not round. Charlie is young. Gary is not young. Harry is furry. Harry is not young. Round people are kind. If someone is quiet then they are kind. If Anne is cold and Anne is not round then Anne is quiet. If Anne is furry and Anne is cold then Anne is quiet. If someone is cold and kind then they are furry. Cold people are quiet. Furry, quiet people are young. If someone is young and kind then they are not smart.",Anne is quiet.,True,OWA,train,5,AttNeg-OWA-D5-186,5,7,8,1,2,proof,[(((triple1) -> rule6))]
266490,66477,2,6003,The bald eagle needs the tiger. The bald eagle sees the tiger. The tiger eats the bald eagle. The tiger is nice. The tiger is rough. The tiger needs the bald eagle. The tiger sees the bald eagle. If something needs the tiger then it eats the bald eagle. If something eats the bald eagle then it is rough. If something sees the bald eagle and it sees the tiger then it is blue. If something eats the bald eagle then it sees the tiger. If the bald eagle sees the tiger and the tiger eats the bald eagle then the bald eagle needs the tiger. If something eats the bald eagle then the bald eagle sees the tiger. If the tiger eats the bald eagle and the tiger is young then the bald eagle is red. If something is red then it eats the tiger.,The bald eagle eats the bald eagle.,True,OWA,train,2,RelNoneg-OWA-D2-1145,2,7,8,1,2,proof,[(((triple1) -> rule1) OR ((((triple2 triple3) -> rule5)) -> rule1) OR ((((((triple3) -> rule6) triple3) -> rule5)) -> rule1))]
284638,14549,2,1319,"Anne is big. Anne is kind. Anne is white. Anne is young. Bob is blue. Bob is rough. Bob is round. Round, rough things are blue. If something is young then it is rough. Big things are rough. All young things are white. All white things are round. If something is blue and rough then it is young. All rough things are round. If Bob is rough then Bob is young.",Anne is rough.,True,OWA,test,2,AttNoneg-OWA-D2-570,2,7,8,1,2,proof,[(((triple1) -> rule3) OR ((triple4) -> rule2))]
417120,17061,2,815,"Charlie is kind. Charlie is nice. Dave is kind. Dave is young. Gary is nice. Gary is round. Harry is round. Round people are blue. Round, nice people are kind. If someone is nice and kind then they are cold. All cold people are round. Round, blue people are young. If someone is green and cold then they are young. Blue, green people are cold. If someone is nice and young then they are green.",Gary is blue.,True,OWA,train,5,AttNoneg-OWA-D5-1104,5,7,8,1,2,proof,[(((triple6) -> rule1))]
443210,43151,2,2052,"Bob is green. Bob is young. Fiona is kind. Gary is green. Gary is kind. Harry is red. Harry is smart. All green things are kind. All kind things are young. All smart things are quiet. If something is quiet and smart then it is green. Quiet things are smart. If Bob is blue and Bob is kind then Bob is smart. If Harry is kind and Harry is blue then Harry is smart. All young, kind things are blue.",Fiona is young.,True,OWA,train,5,AttNeg-OWA-D5-862,5,7,8,1,2,proof,[(((triple3) -> rule2))]
365638,65615,2,4556,"Charlie is furry. Erin is furry. Erin is green. Erin is red. Fiona is green. Fiona is rough. Gary is red. If someone is rough and kind then they are red. Cold, furry people are red. If Gary is green then Gary is rough. Furry people are blue. Rough people are kind. Kind people are furry. All kind people are furry. Green people are cold.",Erin is cold.,True,OWA,train,3,AttNoneg-OWA-D3-631,3,7,8,1,2,proof,[(((triple3) -> rule8))]
131808,31809,2,4112,The bald eagle chases the tiger. The bald eagle eats the bear. The bear eats the bald eagle. The bear visits the bald eagle. The tiger is not round. The tiger is young. The tiger visits the bald eagle. If someone visits the tiger and they do not chase the bald eagle then they visit the bear. If someone eats the bear and the bear visits the tiger then they visit the tiger. If the bear chases the tiger and the bear is cold then the bear is not young. All young people are not nice. If someone is green and young then they do not eat the bear. All cold people are young. If someone visits the tiger and the tiger chases the bald eagle then the tiger is green. If someone is green and not young then they chase the bear.,The tiger is not nice.,True,OWA,train,1,RelNeg-OWA-D1-2455,1,7,8,1,2,proof,[(((triple6) -> rule4))]
107212,7213,2,931,The cat eats the cow. The cat is green. The cow likes the rabbit. The mouse eats the cat. The mouse likes the rabbit. The mouse visits the rabbit. The rabbit visits the cow. If someone is red then they visit the rabbit. If someone visits the rabbit and they visit the mouse then they are red. If someone visits the mouse then they are red. If someone is red and green then they eat the rabbit. If the cow is round and the cow visits the mouse then the mouse likes the rabbit. If someone visits the rabbit then the rabbit is kind. If the mouse is round then the mouse is kind. If someone is young and they like the cat then they like the mouse.,The rabbit is kind.,True,OWA,train,1,RelNoneg-OWA-D1-1170,1,7,8,1,2,proof,[(((triple6) -> rule6))]
273070,2981,2,268,"Fiona is cold. Fiona is rough. Gary is cold. Gary is green. Harry is quiet. Harry is rough. Harry is round. If Gary is quiet then Gary is big. If Gary is furry and Gary is rough then Gary is green. Quiet things are cold. If Harry is rough then Harry is cold. Furry, rough things are cold. If Harry is big and Harry is quiet then Harry is rough. All cold things are quiet. Rough, green things are big.",Gary is quiet.,True,OWA,test,2,AttNoneg-OWA-D2-2395,2,7,8,1,2,proof,[(((triple3) -> rule7))]
